Cnot11	Cnot12	Cnot13	Ctrl1	Ctrl2	Ctrl3
ENSG00000117395	59	96	100	45	58	79
ENSG00000117399	16	21	22	8	14	17
ENSG00000117400	1	0	0	0	0	0
ENSG00000117407	1	2	4	0	2	4
ENSG00000117408	4	3	5	1	13	7
ENSG00000117410	22	92	52	30	41	42
ENSG00000117411	17	22	22	22	22	27
ENSG00000117419	17	17	18	12	12	13
ENSG00000117425	0	7	1	0	0	0
ENSG00000117448	31	45	38	23	41	30
ENSG00000117450	87	244	126	86	100	193
ENSG00000117461	16	23	24	2	8	5
ENSG00000117475	26	40	23	12	29	23
ENSG00000117477	1	1	0	2	0	4
ENSG00000117479	1	1	2	0	3	2
ENSG00000117480	1	0	0	0	0	0
ENSG00000117481	19	25	14	8	15	14
ENSG00000117500	20	33	29	10	19	7
ENSG00000117501	1	0	0	1	0	0
ENSG00000117505	18	30	21	11	16	19
ENSG00000117519	106	105	123	53	65	70
ENSG00000117523	450	779	628	278	468	383
ENSG00000117525	4	1	1	0	3	0
ENSG00000117528	3	4	4	2	7	3
ENSG00000117533	2	2	2	1	4	4
ENSG00000117543	6	9	11	3	7	7
ENSG00000117560	0	0	0	0	0	0
ENSG00000117569	7	10	10	6	13	12
ENSG00000117586	0	0	0	0	0	0
ENSG00000117594	5	0	6	1	1	0
ENSG00000117595	4	1	9	0	7	5
ENSG00000117597	3	1	1	1	2	0
ENSG00000117598	0	0	1	0	0	0
ENSG00000117600	8	20	16	3	7	12
ENSG00000117601	0	0	0	0	0	2
ENSG00000117602	2	10	14	2	5	8
ENSG00000117614	9	17	3	2	0	0
ENSG00000117616	10	18	12	2	14	11
ENSG00000117620	5	11	6	8	8	11
ENSG00000117625	28	43	49	25	37	39
ENSG00000117632	86	113	123	63	99	95
ENSG00000117640	26	19	21	14	18	33
ENSG00000117643	7	9	9	5	8	6
ENSG00000117650	2	12	1	4	4	8
ENSG00000117676	18	22	21	6	18	20
ENSG00000117682	19	6	22	16	14	31
ENSG00000117697	0	6	2	1	5	2
ENSG00000117707	8	7	13	7	13	14
ENSG00000117713	269	158	149	173	275	103
ENSG00000117724	4	2	2	1	0	1
ENSG00000117748	17	31	19	14	26	16
ENSG00000117751	18	13	11	12	6	9
ENSG00000117758	5	1	0	0	0	12
ENSG00000117791	1	1	3	2	4	0
ENSG00000117834	0	0	0	0	0	0
ENSG00000117859	51	81	78	36	41	63
ENSG00000117862	0	0	0	1	7	0
ENSG00000117868	25	65	87	0	65	57
ENSG00000117877	22	19	23	11	9	17
ENSG00000117899	42	58	60	32	46	48
ENSG00000117906	10	29	21	21	42	28
ENSG00000117971	1	0	0	0	1	0
ENSG00000117983	0	0	1	0	0	0
ENSG00000117984	459	519	459	363	514	563
ENSG00000118004	0	1	2	0	1	0
ENSG00000118007	39	65	54	9	53	42
ENSG00000118046	38	36	35	20	17	26
ENSG00000118058	18	8	13	9	11	5
ENSG00000118094	0	0	0	0	0	0
ENSG00000118096	32	48	42	19	27	24
ENSG00000118113	0	0	0	0	0	0
ENSG00000118137	1	0	0	0	0	0
ENSG00000118156	1	2	1	0	0	1
ENSG00000118160	0	0	0	0	0	0
ENSG00000118162	4	1	1	0	2	1
ENSG00000118181	16	12	12	12	15	12
ENSG00000118193	11	19	25	9	16	20
ENSG00000118194	0	0	0	0	0	0
ENSG00000118197	28	48	40	11	19	18
ENSG00000118200	111	213	198	73	106	87
ENSG00000118242	1	0	0	0	2	1
ENSG00000118245	0	0	0	0	0	0
ENSG00000118246	23	39	37	10	25	30
ENSG00000118257	38	74	62	9	31	27
ENSG00000118260	14	19	30	10	20	19
ENSG00000118263	13	30	33	4	12	4
ENSG00000118271	0	0	0	0	0	0
ENSG00000118276	0	4	12	2	4	7
ENSG00000118292	0	0	0	0	0	0
ENSG00000118298	0	0	0	0	0	0
ENSG00000118307	0	0	1	0	0	0
ENSG00000118308	0	0	0	0	0	0
ENSG00000118322	0	0	0	0	0	0
ENSG00000118363	40	94	32	25	45	34
ENSG00000118369	10	4	0	5	6	0
ENSG00000118407	0	0	1	0	0	0
ENSG00000118412	40	81	72	38	39	62
ENSG00000118418	9	20	19	7	12	13
ENSG00000118420	1	1	2	1	1	0
ENSG00000118432	1	3	1	0	2	2
ENSG00000118454	18	20	27	11	18	5
ENSG00000118473	13	12	8	3	7	3
ENSG00000118482	144	232	244	71	127	119
ENSG00000118492	0	0	0	0	0	0
ENSG00000118495	23	29	34	9	25	26
ENSG00000118503	26	52	37	17	30	14
ENSG00000118507	5	4	2	1	1	3
ENSG00000118513	2	11	1	2	3	1
ENSG00000118514	0	0	0	0	0	0
ENSG00000118515	82	109	97	28	54	51
ENSG00000118518	22	35	17	16	20	23
ENSG00000118520	1	0	0	1	0	0
ENSG00000118526	0	1	3	0	1	1
ENSG00000118557	0	1	1	0	2	1
ENSG00000118564	31	40	42	28	25	34
ENSG00000118579	2	4	0	1	4	1
ENSG00000118596	7	17	14	10	12	11
ENSG00000118600	3	3	1	3	2	4
ENSG00000118620	1	0	1	2	2	3
ENSG00000118640	2	2	1	0	0	3
ENSG00000118680	107	218	164	91	130	135
ENSG00000118689	47	64	60	35	42	36
ENSG00000118690	3	1	2	0	0	0
ENSG00000118702	0	0	0	0	0	0
ENSG00000118705	219	49	31	249	73	44
ENSG00000118707	9	18	25	6	14	17
ENSG00000118729	0	0	0	0	0	0
ENSG00000118733	0	0	0	0	0	0
ENSG00000118762	6	7	3	6	17	15
ENSG00000118777	1	5	5	0	4	0
ENSG00000118785	6	3	2	1	0	0
ENSG00000118804	15	26	21	10	8	11
ENSG00000118816	24	21	46	22	39	20
ENSG00000118849	0	0	1	0	0	0
ENSG00000118855	27	55	19	16	29	35
ENSG00000118873	3	2	2	2	1	0
ENSG00000118894	2	2	0	6	2	4
ENSG00000118898	76	37	2	0	0	74
ENSG00000118900	49	69	117	58	52	58
ENSG00000118922	15	16	18	6	22	18
ENSG00000118939	16	27	18	11	24	10
ENSG00000118946	2	3	5	0	3	0
ENSG00000118960	1	11	10	2	3	5
ENSG00000118961	2	7	10	5	6	13
ENSG00000118965	7	27	17	15	13	16
ENSG00000118971	2	0	4	0	0	0
ENSG00000118985	0	4	6	3	1	3
ENSG00000118997	0	2	0	0	0	0
ENSG00000119004	2	5	2	1	1	2
ENSG00000119013	17	9	28	10	19	16
ENSG00000119041	10	14	10	9	7	3
ENSG00000119042	19	31	22	16	16	13
ENSG00000119048	2	6	5	4	1	6
ENSG00000119121	1	3	1	6	2	4
ENSG00000119125	0	0	1	0	0	1
ENSG00000119138	12	12	22	5	14	14
ENSG00000119139	42	93	62	33	29	34
ENSG00000119147	0	0	0	0	1	0
ENSG00000119185	17	32	31	15	33	25
ENSG00000119203	35	0	70	1	64	52
ENSG00000119227	0	2	1	1	1	1
ENSG00000119231	10	36	32	26	37	54
ENSG00000119242	10	16	8	8	12	13
ENSG00000119280	20	16	24	13	17	12
ENSG00000119283	45	71	57	29	63	57
ENSG00000119285	65	25	4	0	6	71
ENSG00000119314	59	81	90	35	55	59
ENSG00000119318	96	157	7	47	4	20
ENSG00000119326	1	11	5	40	60	3
ENSG00000119328	2	0	0	0	0	0
ENSG00000119333	14	27	27	19	29	24
ENSG00000119335	147	249	206	87	132	146
ENSG00000119383	57	98	59	35	76	50
ENSG00000119392	23	24	26	12	22	16
ENSG00000119396	8	10	6	11	16	17
ENSG00000119397	35	46	64	33	46	61
ENSG00000119401	22	25	15	20	29	32
ENSG00000119402	8	0	3	1	8	0
ENSG00000119403	14	16	13	7	7	7
ENSG00000119408	28	28	33	9	18	14
ENSG00000119414	54	62	62	25	42	41
ENSG00000119431	13	14	10	3	4	7
ENSG00000119457	0	0	0	0	0	0
ENSG00000119471	1	1	0	5	7	0
ENSG00000119487	74	98	84	59	80	83
ENSG00000119508	0	0	5	0	3	4
ENSG00000119509	9	21	11	10	3	0
ENSG00000119514	0	0	0	0	0	0
ENSG00000119522	37	48	57	19	44	45
ENSG00000119523	19	45	34	14	21	12
ENSG00000119535	1	1	0	1	0	2
ENSG00000119537	22	24	25	1	9	5
ENSG00000119541	9	8	11	8	7	4
ENSG00000119559	3	5	14	4	8	5
ENSG00000119574	13	17	17	6	13	18
ENSG00000119596	102	35	69	23	136	38
ENSG00000119599	20	12	30	5	6	15
ENSG00000119608	1	0	0	0	1	0
ENSG00000119616	7	9	16	4	7	13
ENSG00000119630	26	22	37	4	14	16
ENSG00000119632	3	1	1	3	1	3
ENSG00000119636	0	0	0	0	0	1
ENSG00000119638	2	3	2	1	0	1
ENSG00000119640	2	9	4	3	5	8
ENSG00000119650	8	10	7	8	10	9
ENSG00000119655	91	112	119	109	124	161
ENSG00000119661	1	2	1	1	0	0
ENSG00000119673	16	26	35	7	13	11
ENSG00000119681	30	47	2	28	48	39
ENSG00000119682	41	31	67	27	37	60
ENSG00000119684	11	25	29	9	29	22
ENSG00000119685	29	26	29	21	35	31
ENSG00000119686	4	2	7	1	1	2
ENSG00000119688	11	16	10	8	10	10
ENSG00000119689	21	10	1	13	12	12
ENSG00000119698	0	0	0	0	0	0
ENSG00000119699	2	10	10	2	5	7
ENSG00000119703	2	2	0	1	0	0
ENSG00000119705	0	12	7	8	9	10
ENSG00000119707	52	77	69	23	45	54
ENSG00000119711	9	19	0	7	12	4
ENSG00000119714	3	5	2	2	0	1
ENSG00000119715	0	0	0	0	0	0
ENSG00000119718	4	3	2	1	1	3
ENSG00000119720	0	1	0	3	3	1
ENSG00000119723	14	7	13	5	11	12
ENSG00000119725	35	62	67	20	34	39
ENSG00000119729	0	0	0	6	1	1
ENSG00000119760	16	31	17	11	25	10
ENSG00000119771	5	0	5	4	0	6
ENSG00000119772	27	29	33	15	33	37
ENSG00000119777	75	119	91	47	61	72
ENSG00000119778	2	6	0	2	6	2
ENSG00000119782	4	5	3	0	5	4
ENSG00000119787	26	42	16	13	24	29
ENSG00000119801	40	59	49	30	34	38
ENSG00000119812	10	12	22	5	24	5
ENSG00000119820	0	0	0	0	0	2
ENSG00000119844	41	57	46	20	35	43
ENSG00000119862	2	1	0	2	2	1
ENSG00000119865	2	3	3	2	2	3
ENSG00000119866	0	0	0	0	1	0
ENSG00000119888	5	9	4	10	12	22
ENSG00000119906	38	41	46	22	26	38
ENSG00000119912	10	10	7	2	17	6
ENSG00000119917	109	161	148	94	154	119
ENSG00000119919	0	0	0	0	0	0
ENSG00000119922	157	207	136	146	266	193
ENSG00000119927	2	12	3	3	0	7
ENSG00000119929	4	2	2	0	1	3
ENSG00000119950	23	32	30	11	6	20
ENSG00000119953	16	18	18	7	10	12
ENSG00000119969	32	45	47	25	50	43
ENSG00000119973	0	0	0	0	0	0
ENSG00000119977	38	57	53	28	47	63
ENSG00000120008	1	8	1	4	4	4
ENSG00000120029	0	0	0	0	1	0
ENSG00000120049	1	0	0	1	0	1
ENSG00000120051	0	0	0	0	0	0
ENSG00000120054	0	0	0	0	0	0
ENSG00000120055	0	1	0	0	0	0
ENSG00000120063	17	16	25	9	17	14
ENSG00000120068	0	0	0	0	0	0
ENSG00000120071	61	94	76	35	16	64
ENSG00000120075	0	0	0	0	0	1
ENSG00000120088	0	0	0	0	0	0
ENSG00000120093	5	7	5	9	4	5
ENSG00000120094	0	0	0	0	0	0
ENSG00000120137	1	1	6	2	2	1
ENSG00000120149	0	2	0	0	0	1
ENSG00000120156	5	0	4	2	0	1
ENSG00000120158	9	7	6	5	0	2
ENSG00000120159	5	0	8	0	2	10
ENSG00000120160	0	0	0	0	0	0
ENSG00000120211	0	0	0	0	0	0
ENSG00000120215	0	0	1	0	1	0
ENSG00000120217	2	0	1	1	0	0
ENSG00000120235	0	0	0	0	0	0
ENSG00000120251	0	0	0	0	0	0
ENSG00000120253	4	8	4	7	10	8
ENSG00000120254	39	54	52	26	33	41
ENSG00000120265	33	37	65	18	22	21
ENSG00000120278	9	23	40	5	10	14
ENSG00000120279	1	3	1	0	0	0
ENSG00000120314	25	27	32	10	17	19
ENSG00000120318	38	48	31	24	38	43
ENSG00000120327	1	3	3	0	2	0
ENSG00000120328	0	1	1	0	0	0
ENSG00000120332	0	0	0	0	0	0
ENSG00000120333	15	14	8	6	8	11
ENSG00000120334	11	12	16	5	9	6
ENSG00000120337	0	1	0	0	0	0
ENSG00000120341	0	0	0	2	0	0
ENSG00000120370	5	15	13	8	10	9
ENSG00000120436	0	0	0	0	0	0
ENSG00000120438	100	72	328	144	219	225
ENSG00000120440	0	0	0	0	0	0
ENSG00000120451	82	109	113	59	78	98
ENSG00000120457	1	1	1	1	0	0
ENSG00000120458	4	12	14	6	8	11
ENSG00000120471	0	0	0	0	0	0
ENSG00000120498	0	0	1	0	0	0
ENSG00000120500	0	0	1	0	0	0
ENSG00000120509	13	24	15	8	20	23
ENSG00000120519	9	15	11	4	7	11
ENSG00000120526	26	51	42	22	28	25
ENSG00000120533	27	22	39	32	39	31
ENSG00000120539	25	57	41	18	39	37
ENSG00000120549	28	50	25	11	12	11
ENSG00000120563	0	0	0	0	0	0
ENSG00000120594	0	2	4	0	7	0
ENSG00000120616	0	27	34	0	2	13
ENSG00000120645	0	0	0	0	0	1
ENSG00000120647	6	36	20	27	7	8
ENSG00000120656	22	26	32	16	29	22
ENSG00000120658	3	10	6	6	4	5
ENSG00000120659	0	0	0	0	0	0
ENSG00000120662	3	9	8	5	6	10
ENSG00000120669	0	0	0	0	0	0
ENSG00000120685	52	16	77	0	61	0
ENSG00000120686	0	1	1	0	2	1
ENSG00000120690	22	62	34	25	31	30
ENSG00000120693	3	10	3	4	3	10
ENSG00000120694	473	656	360	34	288	67
ENSG00000120697	3	2	6	9	13	6
ENSG00000120699	0	0	1	0	0	0
ENSG00000120705	89	182	146	54	88	79
ENSG00000120708	33	30	42	20	45	51
ENSG00000120709	48	51	52	26	36	29
ENSG00000120725	43	53	47	27	57	54
ENSG00000120727	58	47	34	21	38	36
ENSG00000120729	0	0	0	0	0	0
ENSG00000120733	3	18	14	6	8	5
ENSG00000120742	52	60	56	22	42	27
ENSG00000120756	5	14	8	4	6	7
ENSG00000120784	2	3	2	1	2	5
ENSG00000120798	10	8	7	3	8	6
ENSG00000120802	61	116	83	37	51	72
ENSG00000120805	31	48	35	23	27	20
ENSG00000120820	11	25	22	3	9	7
ENSG00000120832	4	3	4	1	2	8
ENSG00000120833	9	14	10	9	16	8
ENSG00000120837	6	12	13	3	7	10
ENSG00000120860	14	19	3	16	5	6
ENSG00000120868	30	72	60	20	17	33
ENSG00000120875	15	4	5	0	4	3
ENSG00000120885	83	117	105	72	119	117
ENSG00000120889	24	15	53	21	29	11
ENSG00000120896	78	70	89	44	75	75
ENSG00000120899	16	17	25	15	21	21
ENSG00000120903	0	0	0	0	0	0
ENSG00000120907	0	0	1	0	1	0
ENSG00000120910	31	34	35	13	27	21
ENSG00000120913	18	14	16	12	15	13
ENSG00000120915	0	0	8	5	6	0
ENSG00000120925	6	13	11	1	2	3
ENSG00000120942	24	24	27	24	19	18
ENSG00000120948	71	75	76	28	56	51
ENSG00000120949	0	0	3	0	0	2
ENSG00000120952	0	0	0	0	0	0
ENSG00000120963	30	33	28	18	8	12
ENSG00000120992	19	25	17	18	24	19
ENSG00000121005	0	2	1	0	2	0
ENSG00000121022	15	27	11	10	21	22
ENSG00000121039	5	6	1	2	1	0
ENSG00000121057	24	44	40	25	31	19
ENSG00000121058	0	0	0	0	0	0
ENSG00000121060	44	71	64	42	52	67
ENSG00000121064	11	19	13	10	23	17
ENSG00000121067	16	22	16	13	11	10
ENSG00000121068	2	0	0	1	2	0
ENSG00000121073	12	12	12	16	21	6
ENSG00000121075	3	10	3	2	4	3
ENSG00000121101	2	3	2	0	1	3
ENSG00000121104	6	5	9	11	7	6
ENSG00000121152	17	27	26	2	13	18
ENSG00000121207	0	0	0	0	0	0
ENSG00000121210	3	34	74	18	26	35
ENSG00000121211	6	3	1	1	0	2
ENSG00000121236	2	9	3	2	7	13
ENSG00000121270	0	0	0	0	0	0
ENSG00000121274	2	5	10	3	2	4
ENSG00000121281	6	19	16	6	8	11
ENSG00000121289	10	10	6	8	6	8
ENSG00000121297	0	0	0	0	1	1
ENSG00000121310	5	9	8	8	8	13
ENSG00000121314	0	0	0	0	0	0
ENSG00000121316	0	2	2	1	3	0
ENSG00000121318	0	0	0	0	0	0
ENSG00000121335	0	0	0	0	1	0
ENSG00000121350	0	3	1	6	0	0
ENSG00000121351	0	0	0	0	0	0
ENSG00000121361	0	1	0	0	0	0
ENSG00000121377	0	0	0	0	0	0
ENSG00000121380	0	0	0	0	1	0
ENSG00000121381	0	0	0	0	0	0
ENSG00000121390	28	46	35	17	28	30
ENSG00000121406	7	3	0	7	11	18
ENSG00000121410	0	0	0	0	0	0
ENSG00000121413	15	25	19	13	17	13
ENSG00000121417	13	14	8	9	5	14
ENSG00000121440	49	73	89	19	23	34
ENSG00000121446	0	0	0	0	0	0
ENSG00000121454	0	1	0	0	2	0
ENSG00000121481	20	12	17	18	32	12
ENSG00000121486	6	1	2	2	1	2
ENSG00000121542	10	13	7	7	10	5
ENSG00000121552	0	0	0	0	0	0
ENSG00000121570	0	0	0	0	0	0
ENSG00000121577	0	0	0	0	1	0
ENSG00000121578	19	18	16	3	6	6
ENSG00000121579	24	40	23	15	19	15
ENSG00000121594	0	0	0	0	0	0
ENSG00000121634	0	0	0	0	0	0
ENSG00000121644	2	6	3	5	1	4
ENSG00000121653	14	28	34	15	19	18
ENSG00000121671	0	15	9	9	4	0
ENSG00000121680	20	14	18	8	19	5
ENSG00000121690	1	12	15	2	2	3
ENSG00000121716	1	2	0	6	5	2
ENSG00000121741	69	109	109	65	90	88
ENSG00000121742	1	1	0	0	0	0
ENSG00000121749	76	93	98	28	41	51
ENSG00000121753	28	36	29	21	25	31
ENSG00000121764	0	1	0	0	0	3
ENSG00000121766	24	43	47	22	31	30
ENSG00000121769	2	2	7	2	0	3
ENSG00000121774	7	41	50	25	11	4
ENSG00000121775	6	9	5	7	6	2
ENSG00000121797	1	0	1	0	0	0
ENSG00000121807	1	0	1	0	0	0
ENSG00000121851	5	1	3	2	2	2
ENSG00000121853	0	0	0	0	0	0
ENSG00000121858	0	3	0	0	0	0
ENSG00000121864	14	38	41	9	12	9
ENSG00000121871	0	0	0	0	0	3
ENSG00000121879	0	1	8	1	0	2
ENSG00000121892	13	24	15	5	20	25
ENSG00000121895	0	0	0	0	0	0
ENSG00000121897	2	3	5	1	9	7
ENSG00000121898	2	0	0	0	1	0
ENSG00000121900	0	4	3	1	13	0
ENSG00000121903	9	10	14	11	17	14
ENSG00000121904	22	23	33	13	37	44
ENSG00000121931	16	22	29	11	10	8
ENSG00000121933	0	0	0	0	0	0
ENSG00000121940	23	39	36	19	30	31
ENSG00000121957	18	32	26	7	9	25
ENSG00000121964	12	11	10	7	11	10
ENSG00000121966	11	17	36	5	5	6
ENSG00000121988	0	7	0	4	6	11
ENSG00000121989	6	12	12	9	7	7
ENSG00000122008	21	42	36	22	31	40
ENSG00000122012	0	0	0	0	0	0
ENSG00000122025	0	0	0	0	0	0
ENSG00000122026	119	171	144	89	167	152
ENSG00000122033	10	22	23	11	22	17
ENSG00000122034	11	20	19	15	29	19
ENSG00000122035	1	6	7	2	2	2
ENSG00000122068	29	54	48	25	23	31
ENSG00000122085	12	22	16	11	11	24
ENSG00000122121	0	0	0	0	0	0
ENSG00000122126	6	0	59	15	7	8
ENSG00000122133	0	1	0	0	0	0
ENSG00000122136	0	0	0	0	0	0
ENSG00000122140	25	34	47	26	26	31
ENSG00000122145	0	0	0	0	0	0
ENSG00000122188	0	0	0	0	0	0
ENSG00000122194	0	0	2	0	1	0
ENSG00000122203	29	41	36	48	60	71
ENSG00000122218	29	15	15	140	235	223
ENSG00000122223	0	0	0	0	0	0
ENSG00000122224	0	0	0	0	0	0
ENSG00000122254	1	0	0	0	0	0
ENSG00000122257	57	128	85	34	68	52
ENSG00000122299	34	56	52	27	54	62
ENSG00000122304	0	0	0	0	0	0
ENSG00000122335	2	2	4	3	8	4
ENSG00000122359	102	170	123	78	76	119
ENSG00000122367	0	0	4	0	0	0
ENSG00000122375	0	0	0	0	0	0
ENSG00000122376	23	33	45	21	22	24
ENSG00000122378	9	13	22	6	15	18
ENSG00000122386	13	10	12	13	19	19
ENSG00000122390	23	42	46	26	36	25
ENSG00000122406	59	57	55	29	17	33
ENSG00000122417	12	30	17	9	14	18
ENSG00000122420	0	8	7	0	0	2
ENSG00000122432	0	0	0	0	0	1
ENSG00000122435	0	2	3	0	0	1
ENSG00000122477	2	5	3	1	0	6
ENSG00000122481	1	5	2	1	0	1
ENSG00000122482	31	65	70	31	35	51
ENSG00000122483	1	13	14	7	11	17
ENSG00000122490	10	9	8	6	12	10
ENSG00000122507	0	26	15	8	22	19
ENSG00000122512	16	25	25	12	0	25
ENSG00000122515	61	77	63	60	61	72
ENSG00000122543	0	0	0	0	0	0
ENSG00000122545	71	145	124	37	89	85
ENSG00000122547	6	4	8	2	2	2
ENSG00000122550	9	10	14	8	1	28
ENSG00000122557	19	25	22	9	18	13
ENSG00000122565	31	51	42	20	36	28
ENSG00000122566	421	608	570	201	315	351
ENSG00000122574	0	1	1	3	3	7
ENSG00000122584	0	0	0	0	0	0
ENSG00000122585	1	1	0	1	3	2
ENSG00000122591	24	19	25	4	20	16
ENSG00000122592	0	3	0	0	1	1
ENSG00000122641	24	18	22	8	8	7
ENSG00000122642	32	44	56	24	26	20
ENSG00000122643	10	8	1	2	1	4
ENSG00000122644	3	7	10	3	6	4
ENSG00000122674	0	1	0	0	1	0
ENSG00000122678	3	3	9	3	3	2
ENSG00000122679	0	0	1	0	1	0
ENSG00000122687	11	16	9	9	16	10
ENSG00000122691	17	10	16	5	6	4
ENSG00000122694	4	1	0	1	2	0
ENSG00000122696	5	4	6	4	4	4
ENSG00000122705	86	122	53	69	81	55
ENSG00000122711	0	0	0	0	0	0
ENSG00000122728	0	0	0	0	0	0
ENSG00000122729	26	53	49	18	29	41
ENSG00000122733	1	0	0	1	0	3
ENSG00000122735	0	0	0	0	0	0
ENSG00000122741	6	5	3	0	2	1
ENSG00000122756	5	7	9	0	6	5
ENSG00000122778	36	76	97	32	48	53
ENSG00000122779	17	22	36	2	20	34
ENSG00000122783	16	18	23	7	10	9
ENSG00000122786	140	174	168	81	109	114
ENSG00000122787	0	0	0	0	0	0
ENSG00000122824	0	2	0	1	0	2
ENSG00000122852	0	0	0	0	0	0
ENSG00000122861	301	434	371	104	167	110
ENSG00000122870	0	7	17	6	18	11
ENSG00000122877	2	3	4	0	3	3
ENSG00000122882	57	78	66	25	24	44
ENSG00000122884	53	70	101	28	53	59
ENSG00000122912	4	1	2	0	2	2
ENSG00000122952	40	38	40	26	36	42
ENSG00000122958	33	39	33	16	23	23
ENSG00000122965	59	72	73	48	42	51
ENSG00000122966	32	39	35	28	32	35
ENSG00000122970	8	16	10	9	10	15
ENSG00000122971	11	9	0	0	5	4
ENSG00000122986	2	4	2	2	2	6
ENSG00000123064	93	143	133	48	63	81
ENSG00000123066	0	0	1	0	0	0
ENSG00000123080	1	2	2	0	1	4
ENSG00000123094	52	85	90	35	53	43
ENSG00000123096	1	0	0	0	0	0
ENSG00000123104	3	1	1	1	1	3
ENSG00000123106	12	29	21	15	20	14
ENSG00000123119	0	0	0	0	0	0
ENSG00000123124	14	35	26	20	17	29
ENSG00000123130	21	16	24	7	30	16
ENSG00000123131	26	3	5	37	89	7
ENSG00000123136	10	27	20	16	24	16
ENSG00000123143	127	153	163	118	174	174
ENSG00000123144	7	7	9	16	21	17
ENSG00000123146	124	163	129	30	64	61
ENSG00000123154	0	0	3	2	6	4
ENSG00000123159	55	75	61	20	45	44
ENSG00000123165	0	0	0	0	0	0
ENSG00000123171	0	0	0	0	0	0
ENSG00000123178	0	2	2	2	0	2
ENSG00000123179	2	1	3	1	3	0
ENSG00000123191	0	0	0	0	0	3
ENSG00000123200	108	181	154	90	150	126
ENSG00000123213	13	17	1	3	7	16
ENSG00000123219	2	15	19	7	6	16
ENSG00000123240	127	165	180	67	115	112
ENSG00000123243	0	0	1	0	0	0
ENSG00000123268	0	12	6	4	1	3
ENSG00000123297	23	8	33	6	10	13
ENSG00000123329	2	3	2	2	3	1
ENSG00000123338	0	0	0	0	0	0
ENSG00000123342	2	17	18	1	12	13
ENSG00000123349	46	63	52	42	57	64
ENSG00000123352	33	42	60	14	26	36
ENSG00000123353	24	23	22	20	32	30
ENSG00000123358	59	65	64	36	56	72
ENSG00000123360	0	0	3	4	1	3
ENSG00000123374	13	34	24	16	23	21
ENSG00000123384	22	23	31	25	60	15
ENSG00000123388	5	16	10	2	6	6
ENSG00000123395	26	36	43	7	22	23
ENSG00000123405	0	0	0	0	1	0
ENSG00000123411	3	3	4	3	3	6
ENSG00000123415	9	13	24	13	18	23
ENSG00000123416	459	587	613	239	341	333
ENSG00000123427	4	0	1	0	1	3
ENSG00000123444	11	2	17	12	14	10
ENSG00000123453	0	3	4	1	2	4
ENSG00000123472	30	23	40	17	26	35
ENSG00000123473	45	77	66	25	45	42
ENSG00000123485	11	22	5	18	14	13
ENSG00000123496	4	6	6	4	4	2
ENSG00000123500	0	1	0	1	0	1
ENSG00000123552	8	10	16	4	10	12
ENSG00000123560	0	1	0	0	0	0
ENSG00000123561	0	0	0	0	0	0
ENSG00000123562	132	236	203	77	103	107
ENSG00000123569	0	0	0	0	0	0
ENSG00000123572	2	1	1	1	3	0
ENSG00000123576	2	0	0	0	1	1
ENSG00000123584	0	0	0	0	0	0
ENSG00000123594	0	0	0	0	0	0
ENSG00000123595	8	13	9	10	2	9
ENSG00000123600	4	3	9	3	1	4
ENSG00000123607	2	3	1	0	2	1
ENSG00000123609	6	2	0	1	1	0
ENSG00000123612	0	0	0	1	0	0
ENSG00000123636	41	47	65	27	26	14
ENSG00000123643	9	20	20	15	20	20
ENSG00000123684	8	13	16	5	8	15
ENSG00000123700	5	6	6	1	0	4
ENSG00000123728	7	7	12	5	11	11
ENSG00000123737	22	32	29	23	29	25
ENSG00000123739	4	7	6	1	4	2
ENSG00000123810	1	1	0	0	0	0
ENSG00000123815	7	9	9	7	10	12
ENSG00000123836	9	12	4	4	2	4
ENSG00000123838	0	0	0	0	0	0
ENSG00000123843	0	0	0	0	0	0
ENSG00000123892	2	2	3	2	3	0
ENSG00000123901	0	0	0	0	0	0
ENSG00000123908	52	66	62	28	57	0
ENSG00000123933	1	3	1	1	2	5
ENSG00000123977	0	0	0	0	0	0
ENSG00000123983	57	87	85	36	59	54
ENSG00000123989	104	9	71	15	30	199
ENSG00000123992	44	52	53	26	31	33
ENSG00000124006	37	57	41	31	46	44
ENSG00000124019	0	0	0	0	0	0
ENSG00000124067	94	76	102	61	71	91
ENSG00000124074	1	1	2	0	2	0
ENSG00000124089	0	0	0	0	0	0
ENSG00000124091	0	1	0	2	0	1
ENSG00000124092	0	0	0	0	1	1
ENSG00000124098	0	0	1	0	0	0
ENSG00000124104	27	36	9	11	14	6
ENSG00000124107	2	2	3	1	1	2
ENSG00000124116	0	0	0	0	0	0
ENSG00000124120	9	12	21	5	7	17
ENSG00000124126	10	22	7	5	6	4
ENSG00000124134	4	2	3	0	0	0
ENSG00000124140	11	7	4	2	3	6
ENSG00000124143	0	0	0	0	0	0
ENSG00000124145	68	88	80	36	60	62
ENSG00000124151	91	140	76	26	54	13
ENSG00000124155	70	122	105	121	161	173
ENSG00000124159	0	1	2	0	0	0
ENSG00000124160	1	0	0	0	0	0
ENSG00000124164	2	2	5	1	5	4
ENSG00000124171	0	0	1	1	0	5
ENSG00000124172	24	36	38	34	49	49
ENSG00000124177	15	11	7	5	28	10
ENSG00000124181	99	135	123	56	99	90
ENSG00000124191	3	11	23	13	14	8
ENSG00000124193	5	4	5	3	2	9
